period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,118,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,12:00,"Nets lineup change (Ziaire Williams, Nolan Traore, Danny Wolf, Terance Mann, Noah Clowney)",lineupchange,0,,basketball_play,1773508232,489,True,2026-03-14 17:10:32+00:00,1,720.0,0.0,0.0,1
4,117,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (Dominick Barlow, Adem Bona, Justin Edwards, VJ Edgecombe, Quentin Grimes)",lineupchange,0,,basketball_play,1773508232,488,True,2026-03-14 17:10:32+00:00,1,720.0,0.0,0.0,2
4,116,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773508232,487,True,2026-03-14 17:10:32+00:00,1,720.0,0.0,0.0,3
4,115,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,12:00,Noah Clowney vs. Adem Bona (Nolan Traore gains possession),opentip,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508234,486,True,2026-03-14 17:10:34+00:00,1,720.0,0.0,0.0,4
4,114,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:39,Nolan Traore turnover (lost ball) (VJ Edgecombe steals),turnover,0,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508252,485,True,2026-03-14 17:10:52+00:00,1,699.0,21.0,0.35,5
4,113,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:33,VJ Edgecombe makes two point running dunk (Dominick Barlow assists),twopointmade,2,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508258,484,True,2026-03-14 17:10:58+00:00,1,693.0,27.0,0.45,6
4,112,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:18,Terance Mann misses two point turnaround jump shot,twopointmiss,2,,basketball_play,1773508279,483,True,2026-03-14 17:11:19+00:00,1,678.0,42.0,0.7,7
4,111,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:13,Dominick Barlow defensive rebound,rebound,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508284,482,True,2026-03-14 17:11:24+00:00,1,673.0,47.0,0.7833333333333333,8
4,110,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:01,Justin Edwards misses three point jump shot,threepointmiss,2,,basketball_play,1773508295,481,True,2026-03-14 17:11:35+00:00,1,661.0,59.0,0.9833333333333333,9
4,109,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,10:59,Noah Clowney defensive rebound,rebound,2,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508297,480,True,2026-03-14 17:11:37+00:00,1,659.0,61.0,1.0166666666666666,10
4,108,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,10:52,Dominick Barlow blocks Nolan Traore's two point driving finger roll layup,twopointmiss,2,,basketball_play,1773508305,479,True,2026-03-14 17:11:45+00:00,1,652.0,68.0,1.1333333333333333,11
4,107,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,10:49,Quentin Grimes defensive rebound,rebound,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508308,478,True,2026-03-14 17:11:48+00:00,1,649.0,71.0,1.1833333333333333,12
4,106,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,10:41,VJ Edgecombe makes two point turnaround fadeaway jump shot,twopointmade,4,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508316,477,True,2026-03-14 17:11:56+00:00,1,641.0,79.0,1.3166666666666667,13
4,105,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,10:18,Dominick Barlow personal foul (Noah Clowney draws the foul),personalfoul,4,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508341,476,True,2026-03-14 17:12:21+00:00,1,618.0,102.0,1.7,14
4,104,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,2,10:08,Noah Clowney makes two point driving finger roll layup (Terance Mann assists),twopointmade,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508369,475,True,2026-03-14 17:12:49+00:00,1,608.0,112.0,1.8666666666666667,15
4,103,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,9:44,VJ Edgecombe misses two point pullup jump shot,twopointmiss,4,,basketball_play,1773508393,474,True,2026-03-14 17:13:13+00:00,1,584.0,136.0,2.2666666666666666,16
4,102,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,2,9:39,Danny Wolf defensive rebound,rebound,4,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508398,473,True,2026-03-14 17:13:18+00:00,1,579.0,141.0,2.35,17
4,101,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,2,9:22,Terance Mann misses two point stepback jump shot,twopointmiss,4,,basketball_play,1773508415,472,True,2026-03-14 17:13:35+00:00,1,562.0,158.0,2.6333333333333333,18
4,100,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,9:20,Adem Bona defensive rebound,rebound,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508417,471,True,2026-03-14 17:13:37+00:00,1,560.0,160.0,2.6666666666666665,19
4,99,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,9:12,Justin Edwards makes two point driving finger roll layup,twopointmade,6,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508425,470,True,2026-03-14 17:13:45+00:00,1,552.0,168.0,2.8,20
4,98,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,2,9:02,Noah Clowney misses three point jump shot,threepointmiss,6,,basketball_play,1773508434,469,True,2026-03-14 17:13:54+00:00,1,542.0,178.0,2.966666666666667,21
4,97,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,2,8:59,Danny Wolf offensive rebound,rebound,6,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508437,468,True,2026-03-14 17:13:57+00:00,1,539.0,181.0,3.0166666666666666,22
4,96,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,4,8:58,Danny Wolf makes two point driving layup,twopointmade,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508439,467,True,2026-03-14 17:13:59+00:00,1,538.0,182.0,3.033333333333333,23
4,95,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,8:40,Quentin Grimes makes two point pullup jump shot (Dominick Barlow assists),twopointmade,8,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508456,466,True,2026-03-14 17:14:16+00:00,1,520.0,200.0,3.3333333333333335,24
4,94,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,4,8:32,Nolan Traore turnover (lost ball) (Justin Edwards steals),turnover,8,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508464,465,True,2026-03-14 17:14:24+00:00,1,512.0,208.0,3.466666666666667,25
4,93,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,8:28,VJ Edgecombe makes two point running dunk (Justin Edwards assists),twopointmade,10,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508469,464,True,2026-03-14 17:14:29+00:00,1,508.0,212.0,3.533333333333333,26
4,92,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,4,8:10,Justin Edwards personal foul (Danny Wolf draws the foul),personalfoul,10,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508489,463,True,2026-03-14 17:14:49+00:00,1,490.0,230.0,3.8333333333333335,27
4,91,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,6,7:56,Ziaire Williams makes two point fadeaway jump shot,twopointmade,10,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508520,462,True,2026-03-14 17:15:20+00:00,1,476.0,244.0,4.066666666666666,28
4,90,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,7:42,Dominick Barlow misses three point jump shot,threepointmiss,10,,basketball_play,1773508534,461,True,2026-03-14 17:15:34+00:00,1,462.0,258.0,4.3,29
4,89,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,6,7:38,Nolan Traore defensive rebound,rebound,10,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508538,460,True,2026-03-14 17:15:38+00:00,1,458.0,262.0,4.366666666666666,30
4,88,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,6,7:30,Justin Edwards blocks Ziaire Williams's two point driving dunk,twopointmiss,10,,basketball_play,1773508546,459,True,2026-03-14 17:15:46+00:00,1,450.0,270.0,4.5,31
4,87,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,7:27,Dominick Barlow defensive rebound,rebound,10,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508549,458,True,2026-03-14 17:15:49+00:00,1,447.0,273.0,4.55,32
4,86,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,7:22,Quentin Grimes misses two point running pullup jump shot,twopointmiss,10,,basketball_play,1773508554,457,True,2026-03-14 17:15:54+00:00,1,442.0,278.0,4.633333333333334,33
4,85,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,7:20,Dominick Barlow offensive rebound,rebound,10,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508556,456,True,2026-03-14 17:15:56+00:00,1,440.0,280.0,4.666666666666667,34
4,84,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,6,7:19,Dominick Barlow makes two point driving reverse layup,twopointmade,12,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508557,455,True,2026-03-14 17:15:57+00:00,1,439.0,281.0,4.683333333333334,35
4,83,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,7:05,Ziaire Williams makes three point jump shot (Nolan Traore assists),threepointmade,12,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508572,454,True,2026-03-14 17:16:12+00:00,1,425.0,295.0,4.916666666666667,36
4,82,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,6:47,Dominick Barlow makes two point driving layup (VJ Edgecombe assists),twopointmade,14,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508589,453,True,2026-03-14 17:16:29+00:00,1,407.0,313.0,5.216666666666667,37
4,81,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,6:39,Noah Clowney turnover (bad pass) (Quentin Grimes steals),turnover,14,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508598,452,True,2026-03-14 17:16:38+00:00,1,399.0,321.0,5.35,38
4,80,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,6:31,Justin Edwards makes two point running layup,twopointmade,16,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508605,451,True,2026-03-14 17:16:45+00:00,1,391.0,329.0,5.483333333333333,39
4,79,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,6:31,Nets 60 second timeout,teamtimeout,16,,basketball_play,1773508752,450,True,2026-03-14 17:19:12+00:00,1,391.0,329.0,5.483333333333333,40
4,78,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,6:31,"Nets lineup change (Ziaire Williams, Danny Wolf, Ben Saraf, Josh Minott, Terance Mann)",lineupchange,16,,basketball_play,1773508767,449,True,2026-03-14 17:19:27+00:00,1,391.0,329.0,5.483333333333333,41
4,77,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,6:08,Josh Minott misses three point jump shot,threepointmiss,16,,basketball_play,1773508810,448,True,2026-03-14 17:20:10+00:00,1,368.0,352.0,5.866666666666666,42
4,76,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,6:06,76ers defensive rebound,rebound,16,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508812,447,True,2026-03-14 17:20:12+00:00,1,366.0,354.0,5.9,43
4,75,quarter,1,,9,6:06,Stoppage (Out of bounds),stoppage,16,,basketball_play,1773508815,446,True,2026-03-14 17:20:15+00:00,1,366.0,354.0,5.9,44
4,74,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:56,VJ Edgecombe makes two point driving layup,twopointmade,18,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508831,445,True,2026-03-14 17:20:31+00:00,1,356.0,364.0,6.066666666666666,45
4,73,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:47,Terance Mann turnover (out of bounds bad pass),turnover,18,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508840,444,True,2026-03-14 17:20:40+00:00,1,347.0,373.0,6.216666666666667,46
4,72,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:47,"Nets lineup change (Ziaire Williams, Danny Wolf, Ben Saraf, Josh Minott, Malachi Smith)",lineupchange,18,,basketball_play,1773508864,443,True,2026-03-14 17:21:04+00:00,1,347.0,373.0,6.216666666666667,47
4,71,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:41,Ben Saraf personal foul (VJ Edgecombe draws the foul),personalfoul,18,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508864,442,True,2026-03-14 17:21:04+00:00,1,341.0,379.0,6.316666666666666,48
4,70,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:41,"Nets lineup change (Ben Saraf, Josh Minott, Tyson Etienne, Chaney Johnson, Malachi Smith)",lineupchange,18,,basketball_play,1773508875,441,True,2026-03-14 17:21:15+00:00,1,341.0,379.0,6.316666666666666,49
4,69,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:38,Quentin Grimes turnover (bad pass) (Chaney Johnson steals),turnover,18,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508888,440,True,2026-03-14 17:21:28+00:00,1,338.0,382.0,6.366666666666666,50
4,68,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:28,Josh Minott misses three point jump shot,threepointmiss,18,,basketball_play,1773508898,439,True,2026-03-14 17:21:38+00:00,1,328.0,392.0,6.533333333333333,51
4,67,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:25,Justin Edwards defensive rebound,rebound,18,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508901,438,True,2026-03-14 17:21:41+00:00,1,325.0,395.0,6.583333333333333,52
4,66,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:18,Josh Minott shooting foul (Adem Bona draws the foul),shootingfoul,18,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508910,437,True,2026-03-14 17:21:50+00:00,1,318.0,402.0,6.7,53
4,65,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:18,Adem Bona makes regular free throw 1 of 2,freethrowmade,19,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508941,436,True,2026-03-14 17:22:21+00:00,1,318.0,402.0,6.7,54
4,64,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:18,"76ers lineup change (Cameron Payne, Trendon Watford, Adem Bona, Justin Edwards, VJ Edgecombe)",lineupchange,19,,basketball_play,1773508942,435,True,2026-03-14 17:22:22+00:00,1,318.0,402.0,6.7,55
4,63,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:18,Adem Bona makes regular free throw 2 of 2,freethrowmade,20,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773508962,434,True,2026-03-14 17:22:42+00:00,1,318.0,402.0,6.7,56
4,62,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,5:08,Adem Bona blocks Ben Saraf's two point driving layup,twopointmiss,20,,basketball_play,1773508973,433,True,2026-03-14 17:22:53+00:00,1,308.0,412.0,6.866666666666666,57
4,61,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:05,Adem Bona defensive rebound,rebound,20,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508976,432,True,2026-03-14 17:22:56+00:00,1,305.0,415.0,6.916666666666667,58
4,60,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:02,Justin Edwards misses three point running jump shot,threepointmiss,20,,basketball_play,1773508979,431,True,2026-03-14 17:22:59+00:00,1,302.0,418.0,6.966666666666667,59
4,59,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,5:00,76ers offensive rebound,rebound,20,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773508983,430,True,2026-03-14 17:23:03+00:00,1,300.0,420.0,7.0,60
4,58,quarter,1,,9,5:00,Stoppage (Out of bounds),stoppage,20,,basketball_play,1773508985,429,True,2026-03-14 17:23:05+00:00,1,300.0,420.0,7.0,61
4,57,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,4:58,VJ Edgecombe misses three point jump shot,threepointmiss,20,,basketball_play,1773509002,428,True,2026-03-14 17:23:22+00:00,1,298.0,422.0,7.033333333333333,62
4,56,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,4:52,Chaney Johnson defensive rebound,rebound,20,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509008,427,True,2026-03-14 17:23:28+00:00,1,292.0,428.0,7.133333333333334,63
4,55,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,4:47,VJ Edgecombe blocks Ben Saraf's two point driving finger roll layup,twopointmiss,20,,basketball_play,1773509013,426,True,2026-03-14 17:23:33+00:00,1,287.0,433.0,7.216666666666667,64
4,54,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,4:44,Cameron Payne defensive rebound,rebound,20,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509016,425,True,2026-03-14 17:23:36+00:00,1,284.0,436.0,7.266666666666667,65
4,53,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,4:33,Chaney Johnson blocks Adem Bona's two point turnaround jump shot,twopointmiss,20,,basketball_play,1773509027,424,True,2026-03-14 17:23:47+00:00,1,273.0,447.0,7.45,66
4,52,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,9,4:31,Chaney Johnson defensive rebound,rebound,20,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509029,423,True,2026-03-14 17:23:49+00:00,1,271.0,449.0,7.483333333333333,67
4,51,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,4:24,Trendon Watford shooting foul (Chaney Johnson draws the foul),shootingfoul,20,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509039,422,True,2026-03-14 17:23:59+00:00,1,264.0,456.0,7.6,68
4,50,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,4:24,Chaney Johnson makes regular free throw 1 of 2,freethrowmade,20,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509068,421,True,2026-03-14 17:24:28+00:00,1,264.0,456.0,7.6,69
4,49,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,4:24,Chaney Johnson misses regular free throw 2 of 2,freethrowmiss,20,,basketball_play,1773509068,420,True,2026-03-14 17:24:28+00:00,1,264.0,456.0,7.6,70
4,48,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,4:21,Adem Bona defensive rebound,rebound,20,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509071,419,True,2026-03-14 17:24:31+00:00,1,261.0,459.0,7.65,71
4,47,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,4:02,VJ Edgecombe makes two point stepback jump shot,twopointmade,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509107,418,True,2026-03-14 17:25:07+00:00,1,242.0,478.0,7.966666666666667,72
4,46,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,3:49,Malachi Smith turnover (bad pass) (Justin Edwards steals),turnover,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509121,417,True,2026-03-14 17:25:21+00:00,1,229.0,491.0,8.183333333333334,73
4,45,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,3:42,Justin Edwards turnover (bad pass) (Chaney Johnson steals),turnover,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509127,416,True,2026-03-14 17:25:27+00:00,1,222.0,498.0,8.3,74
4,44,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,3:30,Ben Saraf turnover (bad pass) (Cameron Payne steals),turnover,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509139,415,True,2026-03-14 17:25:39+00:00,1,210.0,510.0,8.5,75
4,43,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,3:26,Malachi Smith blocks Trendon Watford's two point running layup,twopointmiss,22,,basketball_play,1773509144,414,True,2026-03-14 17:25:44+00:00,1,206.0,514.0,8.566666666666666,76
4,42,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,3:26,Nets defensive rebound,rebound,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509144,413,True,2026-03-14 17:25:44+00:00,1,206.0,514.0,8.566666666666666,77
4,41,quarter,1,,10,3:26,Stoppage (Out of bounds),stoppage,22,,basketball_play,1773509149,412,True,2026-03-14 17:25:49+00:00,1,206.0,514.0,8.566666666666666,78
4,40,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,3:09,Josh Minott misses three point jump shot,threepointmiss,22,,basketball_play,1773509177,411,True,2026-03-14 17:26:17+00:00,1,189.0,531.0,8.85,79
4,39,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,3:07,VJ Edgecombe defensive rebound,rebound,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509179,410,True,2026-03-14 17:26:19+00:00,1,187.0,533.0,8.883333333333333,80
4,38,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,3:07,VJ Edgecombe turnover (bad pass) (Chaney Johnson steals),turnover,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509182,409,True,2026-03-14 17:26:22+00:00,1,187.0,533.0,8.883333333333333,81
4,37,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,10,3:06,Trendon Watford shooting foul (Chaney Johnson draws the foul),shootingfoul,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509186,408,True,2026-03-14 17:26:26+00:00,1,186.0,534.0,8.9,82
4,36,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,11,3:06,Chaney Johnson makes regular free throw 1 of 2,freethrowmade,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509214,407,True,2026-03-14 17:26:54+00:00,1,186.0,534.0,8.9,83
4,35,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,11,3:06,"76ers lineup change (Cameron Payne, Trendon Watford, Adem Bona, VJ Edgecombe, Dalen Terry)",lineupchange,22,,basketball_play,1773509231,406,True,2026-03-14 17:27:11+00:00,1,186.0,534.0,8.9,84
4,34,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,3:06,Chaney Johnson makes regular free throw 2 of 2,freethrowmade,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509231,405,True,2026-03-14 17:27:11+00:00,1,186.0,534.0,8.9,85
4,33,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:54,Malachi Smith blocks Cameron Payne's two point driving floating jump shot,twopointmiss,22,,basketball_play,1773509244,404,True,2026-03-14 17:27:24+00:00,1,174.0,546.0,9.1,86
4,32,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,2:50,Josh Minott defensive rebound,rebound,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509248,403,True,2026-03-14 17:27:28+00:00,1,170.0,550.0,9.166666666666666,87
4,31,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,2:49,Josh Minott turnover (bad pass) (VJ Edgecombe steals),turnover,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509248,402,True,2026-03-14 17:27:28+00:00,1,169.0,551.0,9.183333333333334,88
4,30,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:47,VJ Edgecombe misses two point driving dunk,twopointmiss,22,,basketball_play,1773509254,401,True,2026-03-14 17:27:34+00:00,1,167.0,553.0,9.216666666666667,89
4,29,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,2:47,Nets defensive rebound,rebound,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509254,400,True,2026-03-14 17:27:34+00:00,1,167.0,553.0,9.216666666666667,90
4,28,quarter,1,,12,2:47,Stoppage (Out of bounds),stoppage,22,,basketball_play,1773509259,399,True,2026-03-14 17:27:39+00:00,1,167.0,553.0,9.216666666666667,91
4,27,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:47,76ers 60 second timeout,teamtimeout,22,,basketball_play,1773509273,398,True,2026-03-14 17:27:53+00:00,1,167.0,553.0,9.216666666666667,92
4,26,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:47,"76ers lineup change (Dominick Barlow, Cameron Payne, Trendon Watford, Quentin Grimes, Dalen Terry)",lineupchange,22,,basketball_play,1773509425,397,True,2026-03-14 17:30:25+00:00,1,167.0,553.0,9.216666666666667,93
4,25,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,2:24,Chaney Johnson misses two point turnaround hook shot,twopointmiss,22,,basketball_play,1773509455,396,True,2026-03-14 17:30:55+00:00,1,144.0,576.0,9.6,94
4,24,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:21,Dalen Terry defensive rebound,rebound,22,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1773509458,395,True,2026-03-14 17:30:58+00:00,1,141.0,579.0,9.65,95
4,23,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,12,2:10,Dalen Terry misses two point fadeaway jump shot,twopointmiss,22,,basketball_play,1773509468,394,True,2026-03-14 17:31:08+00:00,1,130.0,590.0,9.833333333333334,96
4,22,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,2:06,Chaney Johnson defensive rebound,rebound,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509472,393,True,2026-03-14 17:31:12+00:00,1,126.0,594.0,9.9,97
4,21,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,1:58,Josh Minott misses three point jump shot,threepointmiss,22,,basketball_play,1773509480,392,True,2026-03-14 17:31:20+00:00,1,118.0,602.0,10.033333333333333,98
4,20,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,12,1:55,Chaney Johnson offensive rebound,rebound,22,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773509484,391,True,2026-03-14 17:31:24+00:00,1,115.0,605.0,10.083333333333334,99
